band,tract,patch,patch_s,skymap_id,ra2000,dec2000,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec,seeing,ellipticity,ellipticity_pa,zeropt,sep_center_deg
HSC-G,15549,704,"7,4",155490704,49.85361857751476,40.906742911804514,49.98417771806385,40.80950585086376,49.9823657843937,41.005494503547574,49.72267959221391,41.00382905987051,49.7252598841218,40.807851878277056,0.6883926,0.011796156,-79.689156,27.0,0.6093549650010396
HSC-G,15549,705,"7,5",155490705,49.85152109372423,41.093393289269535,49.98245231082682,40.99616172690282,49.98063010454352,41.192148271792696,49.720207891566425,41.1904718762566,49.72280281051104,40.99449683012846,0.67852587,0.011597124,-38.028675,27.0,0.4248940007589383
HSC-G,15549,706,"7,6",155490706,49.84941170218434,41.2800396661804,49.98071712222645,41.18281569457737,49.978884555725344,41.3787959714052,49.71772213864648,41.37710859783153,49.72033180934718,41.18113984725738,0.6845517,0.008375981,-55.635014,27.0,0.24380294744521888
HSC-G,15549,707,"7,7",155490707,49.847290301208915,41.46667808076635,49.97897206885341,41.36946379171277,49.977129053531,41.56543364100247,49.71522221328545,41.56373526338096,49.717846761883514,41.367776967660106,0.6846391,0.015774183,-27.751133,27.0,0.08957836531671973
HSC-G,15549,708,"7,8",155490708,49.845183532046086,41.65097183089679,49.977217066347414,41.55610205687605,49.9754077741486,41.747391930754866,49.71277102461594,41.74568279930146,49.71534754801968,41.554404230072095,0.6925924,0.0134839285,-37.413136,27.0,0.1600625673175631
HSC-G,15549,803,"8,3",155490803,49.612538051971626,40.7182867588192,49.73999720744147,40.62130022995534,49.737467795764445,40.81727602234492,49.484711355095556,40.81512956822576,49.487986330781354,40.61916862067211,0.7140818,0.063216954,83.52712,27.0,0.8333117401594028
HSC-G,15549,804,"8,4",155490804,49.60976622317216,40.90492522461387,49.737588583389176,40.80794375966264,49.73504487352673,41.00392157848227,49.48157426019455,41.001760951164854,49.48486774575724,40.80579801330239,0.70283973,0.020997431,81.173676,27.0,0.6587552766389054
HSC-G,15549,805,"8,5",155490805,49.60697870481105,41.09156362317445,49.73516634490075,40.99458931835945,49.73260821528191,41.19056500325067,49.47841938322227,41.18839016856476,49.4817315360109,40.99242940051534,0.6939923,0.0067483527,4.0697303,27.0,0.49313763112578135
HSC-G,15549,806,"8,6",155490806,49.6041753633105,41.27819799241792,49.73273037622716,41.18123294379772,49.73015770389873,41.37720233466197,49.47524657257642,41.375013258659166,49.4785775517285,41.17905882028832,0.68980473,0.014795022,19.287151,27.0,0.34941223898752066
HSC-G,15549,807,"8,7",155490807,49.60135606357233,41.46482437075936,49.73028056030333,41.36787067396432,49.72769322091065,41.563829611492366,49.47205567492674,41.561626260442694,49.47540564139343,41.36568231083026,0.689391,0.020290496,-1.4932259,27.0,0.2658326506892648
HSC-G,15549,808,"8,8",155490808,49.59855621128782,41.64910620723347,49.72781677872989,41.55449854758528,49.72527678356556,41.74577774479402,49.468926987264005,41.743560443302975,49.472215651762504,41.55229591108572,0.686387,0.022827327,-28.508907,27.0,0.29707079673362247
HSC-G,15733,0,"0,0",157330000,50.71971772301171,41.64812727113405,50.84600792324025,41.551321701339994,50.849393717976795,41.74258529308051,50.593036689566816,41.7448025720011,50.590421718895975,41.55352393336333,0.7103527,0.017288456,-63.46145,27.0,0.5912251052970193
HSC-G,15733,1,"0,1",157330001,50.72261678563589,41.832408326447855,50.84922808341068,41.733254994106616,50.85271667623426,41.929197788582925,50.59560313175481,41.93142978859362,50.5929087639957,41.73547153803913,0.7194458,0.02356816,-61.788197,27.0,0.6597962944468986
